version,author,changed_artifact,artifact_version,prompt_hash,tools_hash,reason,hypothesis,metric_before,metric_after,run_file
v0,Student,baseline,v0+peb1c8179815b+t6158199a4408,eb1c8179815bbd508933b91a78ee4bcfb7fc293521b44ecb27346b9a896d84f8,6158199a4408f42c61e18ef73b84a20399e9bc2ac5d0d55bcaf30f6fa59f87d9,Initial run,Use baseline naive prompt,0.0,0.70,runs/v0_B_base_openai_20260602T121942324322.json
v1,Student,system_prompt.md,v1+pa0447f82fb78+t6158199a4408,a0447f82fb783a3fdd5694aba821e9483c400e826c1bf518611012563e906e46,6158199a4408f42c61e18ef73b84a20399e9bc2ac5d0d55bcaf30f6fa59f87d9,Add basic routing/refusal rules,Adding explicit rules for out-of-scope and clarify bounds improves routing accuracy,0.70,0.90,runs/v1_B_base_openai_20260602T122033410150.json
v2,Student,system_prompt.md,v2+pf2d78063dde0+t6158199a4408,f2d78063dde0b6d9eecd67d09de2e2d700a4358908920fe4badaaa9623a88384,6158199a4408f42c61e18ef73b84a20399e9bc2ac5d0d55bcaf30f6fa59f87d9,Refined handle mapping rules,Directly resolving famous names to handles resolves false clarify calls,0.90,0.85,runs/v2_B_base_openai_20260602T122117579374.json
v3,Student,system_prompt.md & tools.yaml,v3+p26ba0e212416+t98eb7f092432,26ba0e212416e067f993ec4258c3f8fe6d3e024afa9c6cc79411cca19af10136,98eb7f0924325b74a60640c28ce053fb77624eaf856155bb2898cc939330ccfc,Added few-shot examples and strict switching rules,Few-shot example on multiturn tool switching and strict query extraction achieves perfect routing,0.85,1.00,runs/v3_B_base_openai_20260602T122516263399.json
